City,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code,State
St. Louis,300576,319289,-5.9,319294,6.4,19.4,13.1,51.6,46.5,46.4,0.3,3.4,0.1,2.4,4.0,43.6,16074,7.2,Not applicable,43.7,138700,1285,454,828,Not applicable,141952,2.10,81.7,9.7,85.1,74.4,87.8,36.3,11.65186944,12.24060742,65.9,64.5,1255664,4162081,10736982,5916406,2471933,7769,24.4,43896,30542,21.8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30040,13943,13086,11994,16498,2924,25309,5157.5,61.91,2965000,Missouri
St. Paul,308096,285112,8.1,285068,7.3,25.0,10.5,50.7,57,16.1,0.8,18.7,0.0,4.9,9.2,51.4,9512,20.0,Not applicable,50.3,208000,1535,585,968,Not applicable,113154,2.61,79.4,29.9,91.6,85.3,86.6,40.8,9.127628473,7.201216526,70.3,67.2,589021,3963025,2018135,3332774,1959938,6741,24.3,57876,31242,18.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,27147,13817,10345,7001,18819,2055,23459,5484.3,51.98,2758000,Minnesota
St. Petersburg,265351,245177,8.2,244769,4.7,16.9,18.6,51.4,69.5,22.2,0.2,3.5,0.1,3.3,8.3,63.3,20733,10.8,Not applicable,60.4,205000,1462,521,1116,Not applicable,109144,2.34,83.5,12.4,90.9,83.7,91.4,35.7,9.446751748,13.58996433,63.3,60.8,540392,2324670,1377732,1218227,4893417,19848,23.7,56982,36266,13.4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25545,12274,10846,7635,16912,2239,21980,3964.4,61.74,1263000,Florida
Stockton,312697,292182,7.0,291707,7.3,27.7,12.4,51.0,44.8,11.2,0.7,21.5,0.6,11.8,42.7,20.6,10667,25.7,Not applicable,48.8,273400,1680,499,1115,Not applicable,95514,3.17,87.1,45.8,89.2,78.8,76.7,18.3,9.967940777,7.559616473,59.5,53.4,366499,1918080,2921782,5746430,3294960,11058,31.1,54614,24214,17.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16992,8728,6688,10373,5966,1330,14925,4730.1,61.67,0675000,California
Tampa,399700,336150,18.9,335709,6.4,21.4,12.3,51.5,65.4,23.6,0.3,4.3,0.1,3.9,26.4,44.6,21464,17.2,Not applicable,48.6,238900,1622,462,1131,Not applicable,152296,2.47,78.6,28.0,91.9,85.1,87.9,38.6,8.399819805,13.19069861,65,60.8,1655370,5650451,2751233,9456987,7449815,21429,24.6,53833,36169,18.6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44811,23826,16412,19799,23007,3899,38519,2960.2,113.41,1271000,Florida
Toledo,272779,287357,-5.1,287208,6.8,23.5,14.1,51.8,62.6,27.4,0.3,1.3,0.0,5.4,8.6,58.7,13886,3.4,Not applicable,50.4,80800,1037,416,725,Not applicable,118365,2.27,80.8,6.9,87.7,78.0,86.1,18.3,13.93261671,8.301917231,61.7,58.7,485885,2718022,11102319,2592823,2837079,9989,20.2,37752,22438,25.5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17685,9139,6984,4539,12374,1474,15301,3559.3,80.69,3977000,Ohio
Tucson,548073,526634,4.1,520116,6,21.2,14.3,50.2,72.1,5.2,3.7,3.2,0.2,5.4,43.6,43.9,37826,15.3,Not applicable,50.6,155300,1183,412,846,Not applicable,212491,2.42,75.8,33.5,91.3,83.5,85.0,27.4,11.193361,13.3276116,60.5,57.5,1235423,5046758,1551529,2221824,7878160,15026,22.5,43425,23655,22.5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,41619,19879,16106,15342,24162,3667,35470,2294.2,226.71,0477000,Arizona
Tulsa,401190,392004,2.3,391906,7.1,24.5,14.0,51.4,64.3,15.2,4.5,3.4,0.1,7.5,16.5,54.0,21871,11.2,Not applicable,50.7,139900,1254,468,829,Not applicable,164000,2.41,79.5,18.5,90.0,81.3,87.3,31.5,11.00909157,19.01723762,65.5,60.0,Suppressed to avoid disclosure of confidential information,5283553,11517930,11596948,7542161,19143,18.6,47650,30970,19.4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,39908,21473,13035,9216,28486,4360,33013,1991.9,196.75,4075000,Oklahoma
Virginia Beach,449974,437903,2.8,437994,6.3,22.3,13.7,50.8,66.3,19.0,0.3,6.7,0.1,5.6,8.2,61.7,56598,9.4,Not applicable,63.7,280800,1826,617,1367,Not applicable,170798,2.58,82.3,12.5,95.0,89.9,93.5,36.0,7.750406629,8.756813786,64.4,62.7,1202733,1959395,1954166,8187586,5671477,12687,23.6,76610,37776,7.3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35359,18195,13466,8893,25052,5384,27836,1758.9,249.02,5182000,Virginia
Wichita,389938,382437,2.0,382368,7,25.2,14.0,50.8,74.3,10.9,1.0,5.1,0.1,4.4,17.2,62.8,23198,10.2,Not applicable,58.8,133400,1242,470,809,Not applicable,153279,2.51,81.9,17.4,88.6,81.1,88.3,30.1,10.09755335,13.94886569,66.7,62.0,918849,3313760,10181670,7544632,6284947,16300,18.6,52620,28806,15.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,31140,16025,10507,5635,23907,2693,26061,2400.4,159.29,2079000,Kansas
Winston-Salem,247945,229627,8.0,229617,6.5,23.8,14.1,53.1,56.6,34.9,0.3,2.5,0.1,2.8,15.0,45.7,12647,9.9,Not applicable,53.5,147900,1171,423,806,Not applicable,94957,2.46,84.2,17.3,89.5,79.0,88.2,34.5,6.777305428,14.23796791,60.5,56.6,564907,1958944,4016976,2266381,4067779,17358,20.9,45750,28821,20.7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18681,9246,7507,6071,11551,1868,15604,1733.6,132.45,3775000,North Carolina
